dataset_id,table_id,column_name,code_value,code_label,code_description,vocabulary_iri,term_iri,term_type
nuseds_fraser_coho_sample,nuseds_fraser_coho,RUN_TYPE,FALL,Fall run timing,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ENUMERATION_METHODS,Bank Walk,Bank walk survey,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ENUMERATION_METHODS,"Stream Walk, Other","Stream walk with other methods",,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ENUMERATION_METHODS,"Bank Walk, Stream Walk, Redd Counts, Other","Bank walk, stream walk, redd counts, other combined",,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ENUMERATION_METHODS,Dead Pitch,Dead pitch counts,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ENUMERATION_METHODS,Other,Other enumeration method,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,Area Under the Curve,Area under the curve,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,Insufficient Information,Insufficient information to classify method,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,Not Applicable,Not applicable,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,"Peak Live * Expansion","Peak live count multiplied by expansion",,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,"Peak Live + Dead","Peak live plus dead count",,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,Unknown Estimate Method,Unknown estimate method,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,NO SURVEY THIS YEAR,No survey this year,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,PRESENCE-ABSENCE (TYPE-6),Presence/absence classification,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-3),Relative abundance type 3,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-4),Relative abundance type 4,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,RELATIVE: CONSTANT MULTI-YEAR METHODS,Relative classification using constant multi-year methods,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,RELATIVE: VARYING MULTI-YEAR METHODS,Relative classification using varying multi-year methods,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,TRUE ABUNDANCE (TYPE-1),True abundance type 1,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,UNKNOWN,Unknown classification,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_STAGE,FINAL,Final estimate,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_STAGE,NEAR FINAL,Near-final estimate,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,RELIABILITY,LOW,Low reliability,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,RELIABILITY,MLOW,Medium-low reliability,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,RELIABILITY,MHIGH,Medium-high reliability,,,
nuseds_fraser_coho_sample,nuseds_fraser_coho,SPECIES,Coho,Coho salmon,,,
